experiment,mode,msg,window,iters,mops,gib
msg_sweep_gpu,write,256,64,200000,3.84,0.92
msg_sweep_gpu,send,256,64,200000,3.73,0.89
msg_sweep_gpu,write,512,64,200000,3.79,1.81
msg_sweep_gpu,send,512,64,200000,3.74,1.78
msg_sweep_gpu,write,1024,64,200000,3.81,3.63
msg_sweep_gpu,send,1024,64,200000,3.81,3.63
msg_sweep_gpu,write,2048,64,200000,3.84,7.32
msg_sweep_gpu,send,2048,64,200000,3.84,7.32
msg_sweep_gpu,write,4096,64,200000,3.83,14.6
msg_sweep_gpu,send,4096,64,200000,3.83,14.62
msg_sweep_gpu,write,8192,64,200000,3.55,27.09
msg_sweep_gpu,send,8192,64,200000,3.62,27.6
msg_sweep_gpu,write,16384,64,200000,1.89,28.8
msg_sweep_gpu,send,16384,64,200000,1.89,28.79
msg_sweep_gpu,write,32768,64,200000,0.96,29.23
msg_sweep_gpu,send,32768,64,200000,0.96,29.23
msg_sweep_gpu,write,65536,64,200000,0.48,29.45
msg_sweep_gpu,send,65536,64,200000,0.48,29.44
msg_sweep_gpu,write,256,512,200000,3.82,0.91
msg_sweep_gpu,send,256,512,200000,3.81,0.91
msg_sweep_gpu,write,512,512,200000,3.84,1.83
msg_sweep_gpu,send,512,512,200000,3.84,1.83
msg_sweep_gpu,write,1024,512,200000,3.82,3.64
msg_sweep_gpu,send,1024,512,200000,3.89,3.71
msg_sweep_gpu,write,2048,512,200000,3.82,7.28
msg_sweep_gpu,send,2048,512,200000,3.78,7.2
msg_sweep_gpu,write,4096,512,200000,3.83,14.61
msg_sweep_gpu,send,4096,512,200000,3.86,14.71
msg_sweep_gpu,write,8192,512,200000,3.63,27.67
msg_sweep_gpu,send,8192,512,200000,3.65,27.86
msg_sweep_gpu,write,16384,512,200000,1.89,28.82
msg_sweep_gpu,send,16384,512,200000,1.89,28.81
msg_sweep_gpu,write,32768,512,200000,0.96,29.22
msg_sweep_gpu,send,32768,512,200000,0.96,29.23
msg_sweep_gpu,write,65536,512,200000,0.48,29.44
msg_sweep_gpu,send,65536,512,200000,0.48,29.44

